id,feed_id,title,link,description,published_at,is_read,is_favorite,video_id,duration,view_count,thumbnail,created_at,is_read_later
0283b2cb-fb8a-42c0-9e6d-5fda4bcd503f,273f8114-8dab-4186-9c35-2aacf93b38d1,"The Fed will wait for trade war fallout before cutting interest rates, Jerome Powell says",https://qz.com/fed-powell-rate-cut-trade-war-trump-economy-1851768493,,2025-03-07 19:08:49+00,false,false,,,,,2025-03-08 18:51:01.509897+00,false
0668e4e1-18d4-46a6-8dcc-25feee95d99e,188992d0-7d48-4120-987b-87477bf511a2,"FORM GEÇİCİ, KLAS KALICIDIR. | LOL YAYIN ANLARI 102",https://www.youtube.com/watch?v=WSEuhpYBAuc,"LOL Yayın Anları derlemesinin yeni bölümüne hoş geldiniz! İzlediğiniz için teşekkürler, abone olmayı unutmayınız...
Telif hakkı ve kaldırtmak istediğiniz içerikler için ; afeliosskk@gmail.com
En uygun, en hızlı RP'nin adresi : https://www.sonteklif.com/yayinci/Afelioss #İşbirliği #Reklam #Sponsor 
Discord, klip paylaşımı ve sohbet için; https://discord.gg/fAzUaR9fcE
Instagram: https://www.instagram.com/afelioss/
Twitter: https://x.com/azizafelioss

Intro: https://youtu.be/4R8EDBkjcZQ?si=S_1vDcaOoZivfF9h
Outro: https://www.youtube.com/watch?v=vD3CcxkZwbY

00:00 Babag
00:47 Intro
00:52 Closer
01:19 Crystal
01:38 Fabfab
02:12 Bolulu
02:48 Farfetch
03:31 Hansuo
04:02 Holyphoenix
04:33 Malkoç
04:50 Naru
05:14 Archelaus
05:38 Telch
06:03 Zedxsmurf
06:22 Zeitnot
07:05 Bolulu
07:38 Crystal
08:05 Fabfab
08:48 Farfetch
09:17 Holyphoenix
09:46 Malkoç
10:06 Naru
10:37 ShawiKatami
10:51 Crystal
11:08 Archelaus
11:23 Malkoç
11:37 Fabfab
11:55 Outro
12:07 Anladınız mı espriyi?
12:25 Teşekkürler
12:30 ne?




























































#zeitnot
#leagueoflegends 
#leagueoflegendstürkiye 
#loltr 
#loltürkiye 
#lolvideoları
#lillia 
#lolmontage 
#loloynanış 
#lolplays 
#lolclips 
#esports 
#outplayed 
#lolrage 
#holyphoenixlol 
#zedxsmurf 
#gosu 
#crystal
#closer 
#uthenera
#naru
#ebonivonizliyor 
#archelaus 

Intro ve outro için ilham aldığım kanal ;  @hmmcik",2025-01-29 13:28:53+00,false,false,WSEuhpYBAuc,,,https://i.ytimg.com/vi/WSEuhpYBAuc/mqdefault.jpg,2025-03-01 09:51:04.62904+00,false
06fb143c-3626-4cca-b625-81d3eda15f4c,188992d0-7d48-4120-987b-87477bf511a2,ENTERESAN VADİ BUG'I - 28 ŞUBAT LOL GREVİ | LOL YAYIN ANLARI 109,https://www.youtube.com/watch?v=8fUOTGfAWC8,"LOL Yayın Anları derlemesinin yeni bölümüne hoş geldiniz! İzlediğiniz için teşekkürler, abone olmayı unutmayınız...
Telif hakkı ve kaldırtmak istediğiniz içerikler için ; afeliosskk@gmail.com
En uygun, en hızlı RP'nin adresi : https://www.sonteklif.com/yayinci/Afelioss #İşbirliği #Reklam #Sponsor 
Discord, klip paylaşımı ve sohbet için; https://discord.gg/fAzUaR9fcE
Instagram: https://www.instagram.com/afelioss/
Twitter: https://x.com/azizafelioss

Intro: https://youtu.be/4R8EDBkjcZQ?si=S_1vDcaOoZivfF9h
Outro: https://www.youtube.com/watch?v=vD3CcxkZwbY

00:00 Stansfield
00:42 Intro
00:47 Bolululol
01:12 Crystal
01:34 Fabfab
02:02 Hansuo
02:28 Holyphoenix
02:49 Malkoç
03:43 Naru
04:06 osman123
04:27 wtcN
04:58 Archelaus
05:29 Zedxsmurf
06:00 Zeitnot
06:24 Armutlol
06:51 Betrayal
07:09 Bolululol
07:44 Crystal
08:10 Hansuo 
08:38 Holyphoenix (osman kireas atışması)
10:05 Naru
10:41 osman123
11:05 Revanche
11:40 Telch
12:23 Zeitnot
12:52 Crystal
13:24 Malkoç
14:00 Naru
14:35 osman123
15:12 wtcN
15:35 Zeitnot
16:14 Outro
16:26 28 ŞUBAT GREVİ 
19:09 teşekkürler






















































#zeitnot
#leagueoflegends 
#leagueoflegendstürkiye 
#loltr 
#loltürkiye 
#lolvideoları
#lillia 
#lolmontage 
#loloynanış 
#lolplays 
#lolclips 
#esports 
#outplayed 
#lolrage 
#holyphoenixlol 
#zedxsmurf 
#gosu 
#crystal
#closer 
#uthenera
#naru
#ebonivonizliyor 
#archelaus 

Intro ve outro için ilham aldığım kanal ;  @hmmcik",2025-02-28 08:15:43+00,false,false,8fUOTGfAWC8,,,https://i.ytimg.com/vi/8fUOTGfAWC8/mqdefault.jpg,2025-03-01 09:51:04.62904+00,false
071c79b1-763d-4fe5-a52d-be9dd864d4e2,e4ee230d-5dfc-4bd8-8a7c-43d0d4957cb7,"Cursor AI Bu Sefer Şaşırttı - Kod Yazmadan E-Ticaret Sitesi Yapmak #2 (Nextjs, Tailwind, Supabase)",https://www.youtube.com/watch?v=rMuLPSurPms,"Bu videoda, Cursor AI ile e-ticaret sitemizin UI/UX tasarımını baştan sona yeniledik! Yapay zeka, sadece kod yazmakla kalmadı, aynı zamanda modern ve kullanıcı dostu bir arayüz oluşturarak bizi şaşırttı. Next.js, Tailwind CSS ve Supabase kullanarak, kod yazmadan nasıl profesyonel bir e-ticaret sitesi yapılabileceğini adım adım gösteriyorum. Yapay zeka ile frontend geliştirme artık çok daha kolay! 🚀

👍 Beğenmeyi, 💬 yorum yapmayı ve 🔔 abone olup bildirimleri açmayı unutma!

🚀🚀🚀🚀
Cursor AI & Windsurf 101 Prompt E-Kitabım Çıktı!
https://www.shopier.com/ShowProductNew/products.php?id=32991963 
🚀🚀🚀🚀


🚀 Instagramdan beni takip ederek beni destekleyebilirsiniz:   https://www.instagram.com/ugur.keskekci/
https://www.instagram.com/remoteugur/

🚀 Kalori sayma uygulamam App Store'da yayında: https://apps.apple.com/us/app/my-calories-kalori-hesaplama/id6664053954

🚀 Topluluğumuza katılmak için: 
Telegram: https://t.me/+9bs7kgDL_51jNzU8
Discord: https://discord.gg/74Z5kR2VXf

Ayrıcalıklardan yararlanmak için bu kanala katılın:
https://www.youtube.com/channel/UCUfRsfirIzYWaVe54w13Uxg/join

00:00 Giriş
02:05 Cursor AI ile UI/UX Geliştirme Kısımlar",2025-02-21 11:09:07+00,false,false,rMuLPSurPms,,,https://i.ytimg.com/vi/rMuLPSurPms/mqdefault.jpg,2025-03-01 10:12:33.450894+00,false
095f1ad8-dbae-4ec2-b7b1-4b016b14c4a7,273f8114-8dab-4186-9c35-2aacf93b38d1,Meta just fired about 20 employees for leaks,https://qz.com/meta-fires-20-employees-leaks-mark-zuckerberg-1851766894,,2025-02-27 20:41:00+00,false,false,,,,,2025-02-28 23:14:32.866096+00,false
09e28153-d636-4a1f-b609-1ed608abb328,1fe1032e-91fd-4540-b54b-5308b7c4eacf,Yapay Zeka ve İnsan Zekası,https://www.youtube.com/watch?v=vRgj4btlL0w,"Bu video 2024.11.02 tarihli ""JavaScript Adam’la Yapay Zeka nedir, nasıl yapılır?"" adlı yayının 01:14:00 - 04:14:56 süreleri arasından alınıp düzenlenmiştir.

Yayına ulaşmak için: https://www.youtube.com/watch?v=p-w7lNoLWlU

Daha fazla içerik için https://www.nimble.dev adresini ziyaret edebilirsiniz.",2025-01-17 14:01:09+00,false,false,vRgj4btlL0w,,,https://i.ytimg.com/vi/vRgj4btlL0w/mqdefault.jpg,2025-03-01 09:45:17.748337+00,false
0d30f8aa-ddaf-4ac9-8826-2f186167d62e,e4ee230d-5dfc-4bd8-8a7c-43d0d4957cb7,Cursor AI ile Kod Yazmadan E Ticaret Sitesi Yapma - Sohbet Muhabbet Yayını,https://www.youtube.com/watch?v=VCgGoIS0Sgw,"Turn your videos into live streams with https://restream.io

👍 Beğenmeyi, 💬 yorum yapmayı ve 🔔 abone olup bildirimleri açmayı unutma!

🚀🚀🚀🚀
Cursor AI & Windsurf 101 Prompt E-Kitabım Çıktı!
https://www.shopier.com/ShowProductNew/products.php?id=32991963 
🚀🚀🚀🚀


🚀 Instagramdan beni takip ederek beni destekleyebilirsiniz:   https://www.instagram.com/ugur.keskekci/
https://www.instagram.com/remoteugur/

🚀 Kalori sayma uygulamam App Store'da yayında: https://apps.apple.com/us/app/my-calories-kalori-hesaplama/id6664053954

🚀 Topluluğumuza katılmak için: 
Telegram: https://t.me/+9bs7kgDL_51jNzU8
Discord: https://discord.gg/74Z5kR2VXf

Ayrıcalıklardan yararlanmak için bu kanala katılın:
https://www.youtube.com/channel/UCUfRsfirIzYWaVe54w13Uxg/join

00:00 Giriş
01:33 Cursor AI ve Uygulama Tanıtımı",2025-02-19 21:41:19+00,false,false,VCgGoIS0Sgw,,,https://i.ytimg.com/vi/VCgGoIS0Sgw/mqdefault.jpg,2025-03-01 10:12:33.450894+00,false
0d3e56ff-11e3-4e51-922e-3ce0619bfe07,273f8114-8dab-4186-9c35-2aacf93b38d1,"Google, Microsoft, and now Amazon: The quantum computing race is heating up",https://qz.com/amazon-unveil-quantum-computing-chip-ocelot-aws-qubits-1851766663,,2025-02-27 13:41:02+00,false,false,,,,,2025-02-28 23:14:32.866096+00,false
0d8e7f02-c03b-4ccc-8025-712af205802b,273f8114-8dab-4186-9c35-2aacf93b38d1,Citigroup accidentally credited a customer's account with $81 trillion,https://qz.com/citigroup-trillion-dollar-transfer-near-miss-fraser-1851766972,,2025-02-28 14:42:00+00,false,false,,,,,2025-02-28 23:14:32.866096+00,false
0e90e709-548f-4968-a2e1-cdf336b35981,273f8114-8dab-4186-9c35-2aacf93b38d1,"The $1.5 billion Bybit hack was pulled off by North Korean agents, FBI and the crypto exchange say",https://qz.com/bybit-crypto-hack-ether-north-korea-hackers-theft-1851766765,,2025-02-27 15:33:00+00,false,false,,,,,2025-02-28 23:14:32.866096+00,false
